Time: 0.008456000 seconds | std::__1::map<std::__1::basic_string<char>, std::__1::basic_string<char>, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, std::__1::basic_string<char> > > >;
Time: 0.008396999 seconds | cpp2::Struct2::write<apache::thrift::BinaryProtocolWriter>;
Time: 0.008326999 seconds | std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >;
Time: 0.008280000 seconds | std::__1::unordered_set<unsigned long, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::HashIndirect, apache::thrift::DistinctTable<apache::thrift::frozen::schema::MemoryLayout, BaseDistinctTablePolicy>::EqualIndirect, std::__1::allocator<unsigned long> >::unordered_set;
Time: 0.007950000 seconds | std::__1::unordered_map<long long, apache::thrift::reflection::DataType, std::__1::hash<long long>, std::__1::equal_to<long long>, std::__1::allocator<std::__1::pair<const long long, apache::thrift::reflection::DataType> > >::unordered_map;
Time: 0.007727000 seconds | folly::to<std::__1::basic_string<char>, char [54], unsigned int, char [32], unsigned int>;
Time: 0.007636999 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSSLSocket>::shared_ptr<apache::thrift::async::TAsyncSSLSocket, folly::DelayedDestruction::Destructor>;
Time: 0.007617999 seconds | std::__1::shared_ptr<x509_st>::operator=<x509_st, folly::static_function_deleter<x509_st, &X509_free> >;
Time: 0.007559999 seconds | std::__1::vector<std::__1::pair<cpp2::Struct1, bool>, std::__1::allocator<std::__1::pair<cpp2::Struct1, bool> > >::reserve;
Time: 0.007516999 seconds | std::__1::map<std::__1::vector<double, std::__1::allocator<double> >, short, std::__1::less<std::__1::vector<double, std::__1::allocator<double> > >, std::__1::allocator<std::__1::pair<const std::__1::vector<double, std::__1::allocator<double> >, short> > >::emplace<std::__1::pair<std::__1::vector<double, std::__1::allocator<double> >, short> >;
Time: 0.007507999 seconds | std::__1::shared_ptr<apache::thrift::async::TAsyncSocket>::shared_ptr<apache::thrift::async::TAsyncSocket, folly::DelayedDestruction::Destructor>;
Time: 0.007354000 seconds | std::__1::vector<std::__1::pair<signed char, std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<signed char, std::__1::basic_string<char> > > >::reserve;
Time: 0.007194999 seconds | std::__1::vector<std::__1::pair<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > > >::reserve;
Time: 0.007118000 seconds | cpp2::Struct2::write<apache::thrift::CompactProtocolWriter>;
Time: 0.007060000 seconds | std::__1::vector<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char>, std::__1::allocator<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >::reserve;
Time: 0.007052999 seconds | std::__1::vector<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int>, std::__1::allocator<std::__1::pair<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, int> > >::reserve;
Time: 0.007017000 seconds | std::__1::vector<std::__1::pair<std::__1::vector<double, std::__1::allocator<double> >, short>, std::__1::allocator<std::__1::pair<std::__1::vector<double, std::__1::allocator<double> >, short> > >::reserve;
Time: 0.007012000 seconds | std::__1::vector<std::__1::pair<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double>, std::__1::allocator<std::__1::pair<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >::reserve;
Time: 0.006998999 seconds | std::__1::vector<unsigned short, std::__1::allocator<unsigned short> >::push_back;
Time: 0.006972000 seconds | std::__1::map<short, apache::thrift::frozen::schema::Field, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, apache::thrift::frozen::schema::Field> > >;
Time: 0.006946000 seconds | std::__1::map<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char>, std::__1::less<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > > >::emplace<std::__1::pair<std::__1::map<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char, std::__1::less<std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> > >, std::__1::allocator<std::__1::pair<const std::__1::set<bool, std::__1::less<bool>, std::__1::allocator<bool> >, signed char> > >, std::__1::basic_string<char> > >;
Time: 0.006929000 seconds | std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > >::emplace<std::__1::pair<int, std::__1::basic_string<char> > >;
Time: 0.006922000 seconds | std::__1::vector<std::__1::pair<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double>, std::__1::allocator<std::__1::pair<std::__1::set<std::__1::vector<int, std::__1::allocator<int> >, std::__1::less<std::__1::vector<int, std::__1::allocator<int> > >, std::__1::allocator<std::__1::vector<int, std::__1::allocator<int> > > >, double> > >::reserve;
Time: 0.006919000 seconds | std::__1::vector<std::__1::pair<std::__1::basic_string<char>, signed char>, std::__1::allocator<std::__1::pair<std::__1::basic_string<char>, signed char> > >::reserve;
Time: 0.006861999 seconds | std::__1::vector<std::__1::pair<cpp2::Struct2, long long>, std::__1::allocator<std::__1::pair<cpp2::Struct2, long long> > >::reserve;
Time: 0.006840000 seconds | std::__1::map<float, cpp2::Struct1, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, cpp2::Struct1> > >::emplace<std::__1::pair<float, cpp2::Struct1> >;
Time: 0.006816999 seconds | std::__1::vector<std::__1::pair<float, cpp2::Struct1>, std::__1::allocator<std::__1::pair<float, cpp2::Struct1> > >::reserve;
Time: 0.006788999 seconds | cpp2::Struct2::serializedSize<apache::thrift::CompactProtocolWriter>;
Time: 0.006755000 seconds | std::__1::map<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double, std::__1::less<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > > >, std::__1::allocator<std::__1::pair<const std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> > >::emplace<std::__1::pair<std::__1::map<short, short, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, short> > >, double> >;
Time: 0.006724999 seconds | cpp2::Struct2::serializedSize<apache::thrift::BinaryProtocolWriter>;
